ID,Category,Question
1,Cars,Name 3 cars your parents owned.
2,Cars,Name 3 cars you'd love to find in a barn.
3,Cars,Name 3 Holden models.
4,Cars,Name 3 Ford models.
6,Cars,Name 3 cars you'd never buy.
7,Cars,Name 3 things found rolling around in the boot.
8,Cars,Name 3 things found in a glovebox.
9,Cars,Name 3 smells inside an old car.
10,Cars,Name 3 reasons a car won't start.
11,Cars,Name 3 lies your mechanic tells you with a straight face.
12,Cars,Name 3 things that rattle in an old car.
13,Cars,Name 3 things that leak on an old car.
14,Cars,Name 3 things you'd pack for a road trip.
15,Cars,Name 3 things people leave in their car.
18,Cars,Name 3 things every P-plater has done.
20,Cars,Name 3 cars you'd see at Bathurst.
21,Cars,Name 3 famous movie cars.
22,Cars,Name 3 famous TV cars.
24,Cars,Name 3 things that make a car look tough.
25,Cars,Name 3 things people argue about at car shows.
26,Cars,Name 3 things you'd find in a tradie's ute.
27,Cars,Name 3 things every 4WD owner talks about.
28,Cars,Name 3 things people buy at the servo.
30,Cars,Name 3 things kids drop in the back seat.
31,Cars,Name 3 things found under a car seat.
32,Cars,Name 3 things that make a car smell weird.
33,Cars,Name 3 things people say when the fuel light comes on.
34,Cars,Name 3 things every car should have.
36,Cars,Name 3 things salesmen lie about when selling a used car.
39,Cars,Name 3 things that make a car feel fast.
41,Cars,Name 3 things found at a wrecking yard.
42,Cars,Name 3 things you'd hear ia mechanic say in a workshop.
44,Cars,Name 3 reasons people love V8s.
45,Cars,Name 3 cars that make people stop and stare.
46,Cars,Name 3 things that ruin a fresh car wash.
47,Cars,Name 3 things you check before buying a used car.
48,Cars,Name 3 things people do at traffic lights.
51,Bikes,Name a motorbike you'd love to own.
53,Bikes,Name 3 Harley Davidson models 
55,Bikes,Name 3 things riders often forget to pack.
56,Bikes,Name 3 things bikers argue about.
57,Bikes,Name 3 reasons a bike won't start.
58,Bikes,Name 3 things that rattle on an old bike.
59,Bikes,Name 3 things that make a bike look tough.
60,Bikes,Name 3 things that make a bike loud.
61,Bikes,Name 3 things riders wear for safety.
62,Bikes,Name 3 tools you'd use on a motorbike.
63,Bikes,Name 3 things you'd clean after a muddy ride.
64,Bikes,Name 3 dirt bike brands.
65,Bikes,Name 3 things you remember from your first dirt bike.
66,Bikes,Name 3 things that go wrong on a trail ride.
67,Bikes,Name 3 things riders say at the servo.
68,Bikes,Name 3 roads bikers love.
69,Bikes,Name 3 things bikers hate in traffic.
70,Bikes,Name 3 things you smell on a country ride.
72,Bikes,Name 3 things every pillion passenger complains about.
73,Bikes,Name 3 things that make a helmet annoying.
74,Bikes,Name 3 things you find in a bike jacket pocket.
75,Bikes,Name 3 things that make a bike feel fast.
76,Bikes,Name 3 things that make a bike feel old.
77,Bikes,Name 3 things bikers check before a ride.
78,Bikes,Name 3 things you'd see outside a country pub.
79,Bikes,Name 3 things people say when a Harley starts.
80,Bikes,Name 3 things you'd hear in a motorcycle workshop.
81,Bikes,Name 3 things bikers wave at.
83,Bikes,Name 3 things you see on a biker's vest.
84,Bikes,Name 3 things that belong in a bike garage.
85,Bikes,Name 3 things that make dirt bikes fun.
86,Bikes,Name 3 things that make sports bikes uncomfortable.
87,Bikes,Name 3 things that make adventure bikes useful.
88,Bikes,Name 3 things that make a cruiser cool.
89,Bikes,Name 3 things riders blame on the weather.
90,Bikes,Name 3 things people say about loud pipes.
91,Bikes,Name 3 things that make a ride feel like freedom.
93,Bikes,Name 3 things that make night riding tricky.
94,Bikes,Name 3 things riders carry just in case.
96,Bikes,Name 3 things that make a good riding mate.
97,Bikes,Name 3 things that make a bad riding mate.
98,Bikes,Name 3 things riders complain about after a long ride.
99,Bikes,Name 3 things people customise on motorcycles.
100,Bikes,Name 3 things that should never fall off a bike.
101,Beers,Name 3 beers you'd take to a BBQ.
102,Beers,Name 3 Australian beers everyone loves
103,Beers,Name 3 imported beers people order at the pub.
106,Beers,Name 3 things found behind a bar.
107,Beers,Name 3 things sitting on a sticky pub table.
108,Beers,Name 3 things people say after the first sip.
109,Beers,Name 3 things people argue about when choosing beer.
110,Beers,Name 3 things you'd eat with beer.
111,Beers,Name 3 things you hear in a beer garden.
113,Beers,Name 3 things you'd find in an esky.
114,Beers,Name 3 things people forget to bring to a BBQ.
115,Beers,Name 3 things people do while waiting for a beer.
116,Beers,Name 3 things that make a pub feel like home.
117,Beers,Name 3 things that make a pub dodgy.
118,Beers,Name 3 things every local pub has.
119,Beers,Name 3 things you see at a country pub.
120,Beers,Name 3 things people drink when beer runs out.
121,Beers,Name 3 things that make a beer taste better.
122,Beers,Name 3 things that make a beer taste worse.
123,Beers,Name 3 things people say about warm beer.
124,Beers,Name 3 things people say about craft beer.
125,Beers,Name 3 things that belong on a pub counter.
126,Beers,Name 3 things found in a pub fridge.
127,Beers,Name 3 drinks served on tap.
130,Beers,Name 3 things people collect from breweries.
132,Beers,Name 3 things people wear to Oktoberfest.
133,Beers,Name 3 smells from an old pub.
134,Beers,Name 3 things that make a beer garden better.
135,Beers,Name 3 things that make a beer garden worse.
136,Beers,Name 3 things people talk about over a beer.
138,Beers,Name 3 things people forget after a few beers.
139,Beers,Name 3 things that should never be mixed with beer.
140,Beers,Name 3 things that make a hangover worse.
141,Beers,Name 3 things that help a hangover.
142,Beers,Name 3 things you find in a bottle shop.
144,Beers,Name 3 things that make an esky heavy.
145,Beers,Name 3 things that make a good drinking mate.
146,Beers,Name 3 things that make a bad drinking mate.
149,Beers,Name 3 things people do during happy hour.
150,Beers,Name 3 things that should always be in the fridge.
151,Bands,Name 3 bands you'd play on a road trip.
152,Bands,Name 3 Australian bands everyone knows.
154,Bands,Name 3 songs everyone sings badly.
155,Bands,Name 3 bands your dad probably liked.
156,Bands,Name 3 bands your mum probably liked.
157,Bands,Name 3 bands with great logos.
